gene	reference	direction	firstBase	lastBase
dnaA	NC_000962.3	+	9	1523
dnaN	NC_000962.3	+	2057	3255
recF	NC_000962.3	+	3279	4432
gene_4	NC_000962.3	+	4440	4992
gyrB	NC_000962.3	+	5241	7261
gyrA	NC_000962.3	+	7306	9809
gene_7	NC_000962.3	+	9922	10826
ileT	NC_000962.3	+	10890	10952
alaT	NC_000962.3	+	11120	11181
gene_10	NC_000962.3	-	11875	12311
ppiA	NC_000962.3	+	12476	13013
gene_12	NC_000962.3	-	13132	13556
gene_13	NC_000962.3	-	13713	13987
gene_14	NC_000962.3	+	14088	14875
trpG	NC_000962.3	+	14918	15611
pknB	NC_000962.3	-	15596	17462
pknA	NC_000962.3	-	17470	18761
pbpA	NC_000962.3	-	18759	20231
rodA	NC_000962.3	-	20239	21638
pstP	NC_000962.3	-	21641	23176
fhaB	NC_000962.3	-	23271	23734
fhaA	NC_000962.3	-	23865	25442
leuT	NC_000962.3	+	25646	25718
gene_24	NC_000962.3	-	25917	26875
whiB5	NC_000962.3	-	27023	27439
gene_26	NC_000962.3	+	27599	28356
gene_27	NC_000962.3	+	28366	29206
gene_28	NC_000962.3	+	29251	29603
gene_29	NC_000962.3	+	29725	31061
gene_30	NC_000962.3	+	31195	31501
gene_31	NC_000962.3	+	31521	31819
gene_32	NC_000962.3	+	32063	33149
gene_33	NC_000962.3	+	33231	33546
bioF2	NC_000962.3	+	34296	36601
acpA	NC_000962.3	+	36609	36868
gene_36	NC_000962.3	+	36869	37256
fadD34	NC_000962.3	+	37260	38947
gene_38	NC_000962.3	-	39064	39829
gene_39	NC_000962.3	-	39884	41201
gene_40	NC_000962.3	+	41307	41903
gene_41	NC_000962.3	-	42008	42351
mtc28	NC_000962.3	-	42434	43364
leuS	NC_000962.3	+	43566	46463
gene_44	NC_000962.3	-	46589	47203
gene_45	NC_000962.3	-	47368	48097
gene_46	NC_000962.3	-	48237	49024
gene_47	NC_000962.3	-	49046	49933
ino1	NC_000962.3	-	50023	51121
gene_49	NC_000962.3	-	51193	51724
gene_50	NC_000962.3	-	51832	52690
gene_51	NC_000962.3	+	52833	53243
ponA1	NC_000962.3	+	53670	55694
gene_53	NC_000962.3	+	55697	57378
gene_54	NC_000962.3	+	57412	57965
rpsF	NC_000962.3	+	58200	58477
ssb	NC_000962.3	+	58590	59078
rpsR1	NC_000962.3	+	59126	59376
rplI	NC_000962.3	+	59417	59858
gene_59	NC_000962.3	+	59904	60413
dnaB	NC_000962.3	+	60403	63014
gene_61	NC_000962.3	+	63206	63886
gene_62	NC_000962.3	+	63917	64967
gene_63	NC_000962.3	-	65012	65347
celA1	NC_000962.3	+	65553	66692
gene_65	NC_000962.3	+	66927	68360
gene_66	NC_000962.3	+	68420	68577
gene_67	NC_000962.3	+	68627	71552
vapB1	NC_000962.3	+	71597	71826
vapC1	NC_000962.3	+	71820	72218
icd2	NC_000962.3	-	72274	74502
gene_71	NC_000962.3	-	74631	75197
gene_72	NC_000962.3	+	75307	76209
sdaA	NC_000962.3	-	76243	77617
glyA2	NC_000962.3	-	77622	78896
gene_75	NC_000962.3	+	79492	80187
gene_76	NC_000962.3	+	80627	81673
gene_77	NC_000962.3	+	81683	82665
gene_78	NC_000962.3	+	82752	83974
gene_79	NC_000962.3	+	83997	85167
gene_80	NC_000962.3	-	85184	85571
gene_81	NC_000962.3	-	85635	86462
gene_82	NC_000962.3	+	86531	87126
gene_83	NC_000962.3	-	87214	87797
gene_84	NC_000962.3	-	87801	87997
gene_85	NC_000962.3	+	88207	89016
gene_86	NC_000962.3	+	89026	89480
gene_87	NC_000962.3	+	89575	89912
gene_88	NC_000962.3	+	89929	90402
gene_89	NC_000962.3	+	90400	92321
hycD	NC_000962.3	+	92327	93272
hycP	NC_000962.3	+	93291	93945
hycQ	NC_000962.3	+	93952	95412
hycE	NC_000962.3	+	95418	96884
gene_94	NC_000962.3	+	96929	97594
gene_95	NC_000962.3	+	97762	98348
gene_96	NC_000962.3	+	98488	99244
mtn	NC_000962.3	+	99690	100442
ctpA	NC_000962.3	+	100584	102861
gene_99	NC_000962.3	-	102816	103658
gene_100	NC_000962.3	+	3883969	3884916
gene_101	NC_000962.3	-	104809	105213
PPE1	NC_000962.3	+	105323	106706
gene_103	NC_000962.3	+	106738	107594
fcoT	NC_000962.3	+	107608	108148
fadD10	NC_000962.3	+	108159	109776
gene_106	NC_000962.3	+	109791	110015
nrp	NC_000962.3	+	110006	117535
gene_108	NC_000962.3	+	117719	119696
ctpB	NC_000962.3	-	119921	122171
gene_110	NC_000962.3	+	122320	123826
rpmB1	NC_000962.3	-	123982	124258
gene_112	NC_000962.3	+	124375	125562
ctpI	NC_000962.3	-	125647	130533
gene_114	NC_000962.3	-	130899	131102
PE_PGRS1	NC_000962.3	+	131382	132870
gene_116	NC_000962.3	+	133027	133762
gene_117	NC_000962.3	+	133949	136001
gca	NC_000962.3	+	136288	137244
gmhA	NC_000962.3	+	137319	137909
gmhB	NC_000962.3	+	137940	138510
hddA	NC_000962.3	+	138519	139669
gene_122	NC_000962.3	+	139964	140137
ldtA	NC_000962.3	-	140266	141022
oxyS	NC_000962.3	+	141208	142139
oxcA	NC_000962.3	-	142135	143874
fadD7	NC_000962.3	+	144054	145622
fusA2	NC_000962.3	-	145627	147767
gene_128	NC_000962.3	-	147908	148337
gene_129	NC_000962.3	+	148492	148855
gene_130	NC_000962.3	+	148855	149221
PE_PGRS2	NC_000962.3	+	149540	150996
pepA	NC_000962.3	+	151148	152210
treS	NC_000962.3	+	152324	154126
mak	NC_000962.3	+	154231	155597
gene_135	NC_000962.3	+	155673	156444
fbpC	NC_000962.3	-	156580	157595
htdZ	NC_000962.3	+	157846	158301
fadE1	NC_000962.3	-	158318	159657
fgd2	NC_000962.3	-	159705	160778
gene_140	NC_000962.3	+	160870	161466
ephF	NC_000962.3	+	161770	162673
gene_142	NC_000962.3	-	162643	163245
cyp138	NC_000962.3	+	163366	164689
msrA	NC_000962.3	-	164711	165252
gene_145	NC_000962.3	+	165327	165822
gene_146	NC_000962.3	+	165829	166848
gene_147	NC_000962.3	+	166909	167282
gene_148	NC_000962.3	-	167273	167679
gene_149	NC_000962.3	+	167715	168633
gene_150	NC_000962.3	-	168703	170174
gene_151	NC_000962.3	+	170289	171125
gene_152	NC_000962.3	+	171215	172168
gene_153	NC_000962.3	+	172214	173142
gene_154	NC_000962.3	+	173241	174751
gene_155	NC_000962.3	+	174841	175688
gene_156	NC_000962.3	+	175699	176664
gene_157	NC_000962.3	-	176665	176943
PE1	NC_000962.3	-	177542	179303
