Read	Ref	flag	MAPQ	refPos	readLength	refAlnLength	matches	Inss	Dels	SNPs	medianQ	meanQ
7b2aa3b6-69a1-443b-a78d-a0d81892abb1	NC_000962.3	0	42	3122585	341	233	206	7	8	20	20.730206	22.000000
7b2aa3b6-69a1-443b-a78d-a0d81892abb1	NC_000962.3	256	0	3122803	341	189	170	9	9	10	0.000000	0.000000
6ea95b0c-04ff-4560-b154-51103ebe99f1	*	4	0	0	235	0	0	0	0	0	13.195745	11.000000
f0df1efa-0a1e-4526-b3d0-7dec74a87524	NC_000962.3	16	60	1303057	364	241	219	10	7	12	17.008242	17.000000
3b2bd8a0-9baa-4dbd-b97f-2344f2716e9c	NC_000962.3	16	60	800831	538	445	407	14	5	24	17.728624	17.000000
423e5df5-26f1-4b5b-bbde-6d4db25b1af5	NC_000962.3	16	60	1476265	559	416	390	8	13	18	18.871199	20.000000
3e7aa53f-cd22-4bfe-ade8-b786c83746f6	*	4	0	0	371	0	0	0	0	0	11.549865	10.000000
503e7c5e-06c0-4676-bd72-c7acc231d56c	*	4	0	0	332	0	0	0	0	0	16.683735	16.000000
9ae46f8f-ae08-4103-92fb-40c33f351982	NC_000962.3	0	35	3122898	319	209	189	5	2	15	17.241379	17.000000
240a76e5-367b-405c-81a3-81ae29e043d6	*	4	0	0	237	0	0	0	0	0	24.227848	25.500000
f9e10223-75d8-43c0-820c-d08b6510156b	*	4	0	0	310	0	0	0	0	0	18.693548	17.000000
c368778b-0c80-4950-a14d-92051731c6ee	*	4	0	0	221	0	0	0	0	0	21.723982	23.000000
82cc5550-7285-468c-9f88-a6c533ddfc65	NC_000962.3	16	60	4326612	612	508	481	13	7	14	19.253267	20.000000
5771ccff-8511-460c-b36f-f09c5ecd04ca	NC_000962.3	0	60	491145	850	711	686	12	32	13	21.362352	23.000000
602a9dcf-3a4c-49e3-8d53-b6a91a4ae9a6	NC_000962.3	0	60	4247627	532	450	425	4	2	21	21.101503	22.000000
5816c7f8-2236-4562-9b8c-7d6d6729bf74	NC_000962.3	0	60	3120263	287	177	168	5	2	4	21.397213	22.000000
df0827e3-f746-4d0f-9e39-fe1672313229	NC_000962.3	0	45	3122733	272	114	112	0	1	2	18.415442	19.000000
fc2d77cc-6b48-4961-9144-766c12ce9261	NC_000962.3	0	60	760639	255	158	145	7	2	6	11.721569	10.000000
d8aa31fd-f111-4901-a2af-b1afd6e18d74	NC_000962.3	0	60	3641329	316	206	193	10	5	3	14.677216	14.000000
aeb289aa-87da-4f4a-b0c2-dc6dd766210f	*	4	0	0	230	0	0	0	0	0	14.678261	12.000000
ebf5f718-e5c4-4aa4-b0f1-9bcb2867d43f	*	4	0	0	307	0	0	0	0	0	13.280130	12.000000
81d7d854-3420-45d7-a189-c6519caadc14	NC_000962.3	16	60	1917722	325	212	205	4	4	3	20.350769	22.000000
b3c4869a-7ad5-42d9-bef3-792bf3ab2579	NC_000962.3	16	60	4247744	249	138	135	2	2	1	21.325302	23.500000
1de9d048-735d-4dc9-af80-b6ccf5803e7b	NC_000962.3	0	60	1918567	343	233	224	6	5	3	23.588921	26.000000
dbf8d70c-93a2-427c-8f7a-ab61ebe0f57b	*	4	0	0	265	0	0	0	0	0	20.569811	22.000000
4e3dbcea-3918-4cc4-932b-2e3b144bfa21	NC_000962.3	16	60	1917721	796	704	670	15	5	19	23.652010	26.000000
97b86b09-c08a-483f-b8e2-bb3958be7b6d	NC_000962.3	16	60	1673937	340	239	221	12	0	6	17.750000	18.000000
b5c3ba3f-3e33-4393-bdbf-6d7567b64a0a	NC_000962.3	0	60	4247653	896	806	718	31	27	57	15.950892	15.000000
bd0bdb0d-45a0-42d8-a9be-7b84cada2ee8	*	4	0	0	216	0	0	0	0	0	16.032408	16.000000
0c3cb0bd-3a87-49f6-a342-c7e3aaeba546	NC_000962.3	0	60	1917786	1069	1011	889	39	28	83	16.061741	15.000000
9d5bf85a-b1d9-4206-b64a-f100fa6721e7	*	4	0	0	228	0	0	0	0	0	20.250000	23.000000
71c8a6e4-a76a-45e7-8dfc-78deb7e1c409	*	4	0	0	242	0	0	0	0	0	22.280993	25.000000
adfc1835-9351-4cb3-b5c1-ae25281021be	NC_000962.3	0	15	4247837	207	104	99	3	0	2	19.922705	20.000000
5b367060-15b6-40b5-a5d9-774f99309339	NC_000962.3	16	60	760804	500	415	365	23	14	27	14.928000	14.000000
3ac5941f-9969-4f7b-ab68-fc902ce98656	NC_000962.3	0	40	3120263	283	175	162	6	1	7	19.427563	21.000000
83c609dd-0cda-491c-be39-0bd2e110374a	NC_000962.3	0	60	2155508	238	156	147	4	4	5	17.281513	19.000000
bb7d159a-877d-4d1c-9c93-e03be0d599d9	NC_000962.3	0	60	3641390	372	262	235	14	6	13	17.537634	17.000000
46ba54a4-5c76-486c-a3b1-fded2cc1b21c	*	4	0	0	238	0	0	0	0	0	22.474791	24.000000
ab3715f2-7043-4a1d-8258-37ac49af78b2	NC_000962.3	16	39	490816	195	63	63	0	0	0	20.676924	22.000000
746c5e36-ea63-4db6-b075-5c7ae9b79751	NC_000962.3	16	60	3642166	467	359	350	7	4	2	19.987152	22.000000
4edfe1a5-ebdc-4397-b749-728a4040b3ea	NC_000962.3	16	60	3642260	564	459	425	12	10	22	16.250000	15.000000
166f457c-4719-4456-9db3-48bd5daa7bb9	NC_000962.3	16	3	2715228	235	118	109	6	1	3	17.353191	16.000000
2d6aafe6-e3f9-45f3-b1bf-1a7cb86ce838	*	4	0	0	177	0	0	0	0	0	20.909605	22.000000
6a4986fe-9c28-45e0-b4c2-688d450ec1ed	NC_000962.3	0	47	3122085	332	216	202	5	2	9	17.271084	17.000000
3baa2046-01b6-4fef-a71c-35cd538e43c6	*	4	0	0	258	0	0	0	0	0	19.201550	21.000000
0d87dab3-7a15-4ea4-9f6f-be839c1a6d6b	NC_000962.3	0	60	760825	654	537	506	14	10	17	21.218655	23.000000
90218337-3484-4d6f-93f1-4718a0458ff1	NC_000962.3	16	60	1475749	854	756	698	22	11	36	20.231850	22.000000
c35b36d0-6f24-4c6e-8342-54a239ed1162	NC_000962.3	0	60	1917955	883	798	762	21	11	15	20.338619	22.000000
